"","Strain","compound","presence"
"1","NBC","MBOA_AMPO",FALSE
"2","NBC","MBOA_MHPA",FALSE
"3","NBC","DIMBOA_Glc_met",FALSE
"4","NBC","DMG_MBOA",FALSE
"5","NBC","AMPO_MBOA_Glc",FALSE
"6","LWO13","MBOA_AMPO",FALSE
"7","LWO13","MBOA_MHPA",FALSE
"8","LWO13","DIMBOA_Glc_met",TRUE
"9","LWO13","DMG_MBOA",FALSE
"10","LWO13","AMPO_MBOA_Glc",TRUE
"11","Root61","MBOA_AMPO",FALSE
"12","Root61","MBOA_MHPA",FALSE
"13","Root61","DIMBOA_Glc_met",TRUE
"14","Root61","DMG_MBOA",TRUE
"15","Root61","AMPO_MBOA_Glc",FALSE
"16","LMS4","MBOA_AMPO",TRUE
"17","LMS4","MBOA_MHPA",FALSE
"18","LMS4","DIMBOA_Glc_met",TRUE
"19","LMS4","DMG_MBOA",FALSE
"20","LMS4","AMPO_MBOA_Glc",TRUE
"21","Root53","MBOA_AMPO",FALSE
"22","Root53","MBOA_MHPA",FALSE
"23","Root53","DIMBOA_Glc_met",FALSE
"24","Root53","DMG_MBOA",FALSE
"25","Root53","AMPO_MBOA_Glc",TRUE
"26","LWH10","MBOA_AMPO",TRUE
"27","LWH10","MBOA_MHPA",TRUE
"28","LWH10","DIMBOA_Glc_met",TRUE
"29","LWH10","DMG_MBOA",FALSE
"30","LWH10","AMPO_MBOA_Glc",TRUE
"31","LWH7","MBOA_AMPO",TRUE
"32","LWH7","MBOA_MHPA",FALSE
"33","LWH7","DIMBOA_Glc_met",TRUE
"34","LWH7","DMG_MBOA",FALSE
"35","LWH7","AMPO_MBOA_Glc",FALSE
"36","Leaf159","MBOA_AMPO",FALSE
"37","Leaf159","MBOA_MHPA",FALSE
"38","Leaf159","DIMBOA_Glc_met",TRUE
"39","Leaf159","DMG_MBOA",TRUE
"40","Leaf159","AMPO_MBOA_Glc",FALSE
"41","LMI1","MBOA_AMPO",FALSE
"42","LMI1","MBOA_MHPA",FALSE
"43","LMI1","DIMBOA_Glc_met",TRUE
"44","LMI1","DMG_MBOA",TRUE
"45","LMI1","AMPO_MBOA_Glc",FALSE
"46","Leaf1","MBOA_AMPO",FALSE
"47","Leaf1","MBOA_MHPA",FALSE
"48","Leaf1","DIMBOA_Glc_met",TRUE
"49","Leaf1","DMG_MBOA",TRUE
"50","Leaf1","AMPO_MBOA_Glc",FALSE
"51","Root322","MBOA_AMPO",FALSE
"52","Root322","MBOA_MHPA",FALSE
"53","Root322","DIMBOA_Glc_met",TRUE
"54","Root322","DMG_MBOA",TRUE
"55","Root322","AMPO_MBOA_Glc",FALSE
"56","LWH11","MBOA_AMPO",TRUE
"57","LWH11","MBOA_MHPA",TRUE
"58","LWH11","DIMBOA_Glc_met",TRUE
"59","LWH11","DMG_MBOA",FALSE
"60","LWH11","AMPO_MBOA_Glc",FALSE
"61","Root280D1","MBOA_AMPO",FALSE
"62","Root280D1","MBOA_MHPA",FALSE
"63","Root280D1","DIMBOA_Glc_met",TRUE
"64","Root280D1","DMG_MBOA",TRUE
"65","Root280D1","AMPO_MBOA_Glc",TRUE
"66","LWH13","MBOA_AMPO",TRUE
"67","LWH13","MBOA_MHPA",FALSE
"68","LWH13","DIMBOA_Glc_met",TRUE
"69","LWH13","DMG_MBOA",FALSE
"70","LWH13","AMPO_MBOA_Glc",FALSE
"71","LBN7","MBOA_AMPO",TRUE
"72","LBN7","MBOA_MHPA",TRUE
"73","LBN7","DIMBOA_Glc_met",TRUE
"74","LBN7","DMG_MBOA",FALSE
"75","LBN7","AMPO_MBOA_Glc",TRUE
"76","Leaf436","MBOA_AMPO",FALSE
"77","Leaf436","MBOA_MHPA",FALSE
"78","Leaf436","DIMBOA_Glc_met",TRUE
"79","Leaf436","DMG_MBOA",TRUE
"80","Leaf436","AMPO_MBOA_Glc",FALSE
"81","Leaf161","MBOA_AMPO",FALSE
"82","Leaf161","MBOA_MHPA",FALSE
"83","Leaf161","DIMBOA_Glc_met",TRUE
"84","Leaf161","DMG_MBOA",TRUE
"85","Leaf161","AMPO_MBOA_Glc",TRUE
"86","Root1433D1","MBOA_AMPO",FALSE
"87","Root1433D1","MBOA_MHPA",FALSE
"88","Root1433D1","DIMBOA_Glc_met",TRUE
"89","Root1433D1","DMG_MBOA",TRUE
"90","Root1433D1","AMPO_MBOA_Glc",FALSE
"91","LMI1x","MBOA_AMPO",FALSE
"92","LMI1x","MBOA_MHPA",FALSE
"93","LMI1x","DIMBOA_Glc_met",TRUE
"94","LMI1x","DMG_MBOA",TRUE
"95","LMI1x","AMPO_MBOA_Glc",FALSE
"96","LMX7","MBOA_AMPO",TRUE
"97","LMX7","MBOA_MHPA",FALSE
"98","LMX7","DIMBOA_Glc_met",TRUE
"99","LMX7","DMG_MBOA",FALSE
"100","LMX7","AMPO_MBOA_Glc",FALSE
"101","LM3X","MBOA_AMPO",TRUE
"102","LM3X","MBOA_MHPA",FALSE
"103","LM3X","DIMBOA_Glc_met",TRUE
"104","LM3X","DMG_MBOA",FALSE
"105","LM3X","AMPO_MBOA_Glc",FALSE
"106","Leaf171","MBOA_AMPO",FALSE
"107","Leaf171","MBOA_MHPA",FALSE
"108","Leaf171","DIMBOA_Glc_met",TRUE
"109","Leaf171","DMG_MBOA",TRUE
"110","Leaf171","AMPO_MBOA_Glc",FALSE
"111","LWH3","MBOA_AMPO",TRUE
"112","LWH3","MBOA_MHPA",FALSE
"113","LWH3","DIMBOA_Glc_met",TRUE
"114","LWH3","DMG_MBOA",FALSE
"115","LWH3","AMPO_MBOA_Glc",TRUE
"116","Leaf203","MBOA_AMPO",FALSE
"117","Leaf203","MBOA_MHPA",FALSE
"118","Leaf203","DIMBOA_Glc_met",FALSE
"119","Leaf203","DMG_MBOA",FALSE
"120","Leaf203","AMPO_MBOA_Glc",TRUE
"121","LMI12","MBOA_AMPO",FALSE
"122","LMI12","MBOA_MHPA",FALSE
"123","LMI12","DIMBOA_Glc_met",TRUE
"124","LMI12","DMG_MBOA",TRUE
"125","LMI12","AMPO_MBOA_Glc",TRUE
"126","LMI13","MBOA_AMPO",FALSE
"127","LMI13","MBOA_MHPA",FALSE
"128","LMI13","DIMBOA_Glc_met",TRUE
"129","LMI13","DMG_MBOA",TRUE
"130","LMI13","AMPO_MBOA_Glc",TRUE
"131","LWO14","MBOA_AMPO",TRUE
"132","LWO14","MBOA_MHPA",FALSE
"133","LWO14","DIMBOA_Glc_met",TRUE
"134","LWO14","DMG_MBOA",FALSE
"135","LWO14","AMPO_MBOA_Glc",FALSE
"136","Leaf288","MBOA_AMPO",FALSE
"137","Leaf288","MBOA_MHPA",FALSE
"138","Leaf288","DIMBOA_Glc_met",TRUE
"139","Leaf288","DMG_MBOA",TRUE
"140","Leaf288","AMPO_MBOA_Glc",FALSE
"141","Leaf179","MBOA_AMPO",FALSE
"142","Leaf179","MBOA_MHPA",FALSE
"143","Leaf179","DIMBOA_Glc_met",TRUE
"144","Leaf179","DMG_MBOA",TRUE
"145","Leaf179","AMPO_MBOA_Glc",TRUE
"146","LWH12","MBOA_AMPO",FALSE
"147","LWH12","MBOA_MHPA",FALSE
"148","LWH12","DIMBOA_Glc_met",TRUE
"149","LWH12","DMG_MBOA",FALSE
"150","LWH12","AMPO_MBOA_Glc",TRUE
"151","LMI11","MBOA_AMPO",FALSE
"152","LMI11","MBOA_MHPA",FALSE
"153","LMI11","DIMBOA_Glc_met",TRUE
"154","LMI11","DMG_MBOA",TRUE
"155","LMI11","AMPO_MBOA_Glc",FALSE
"156","Leaf314","MBOA_AMPO",FALSE
"157","Leaf314","MBOA_MHPA",FALSE
"158","Leaf314","DIMBOA_Glc_met",TRUE
"159","Leaf314","DMG_MBOA",TRUE
"160","Leaf314","AMPO_MBOA_Glc",TRUE
"161","LMB2","MBOA_AMPO",TRUE
"162","LMB2","MBOA_MHPA",FALSE
"163","LMB2","DIMBOA_Glc_met",TRUE
"164","LMB2","DMG_MBOA",FALSE
"165","LMB2","AMPO_MBOA_Glc",FALSE
"166","Leaf320","MBOA_AMPO",FALSE
"167","Leaf320","MBOA_MHPA",FALSE
"168","Leaf320","DIMBOA_Glc_met",TRUE
"169","Leaf320","DMG_MBOA",TRUE
"170","Leaf320","AMPO_MBOA_Glc",FALSE
"171","LWS13","MBOA_AMPO",TRUE
"172","LWS13","MBOA_MHPA",FALSE
"173","LWS13","DIMBOA_Glc_met",TRUE
"174","LWS13","DMG_MBOA",FALSE
"175","LWS13","AMPO_MBOA_Glc",FALSE
"176","Leaf151","MBOA_AMPO",FALSE
"177","Leaf151","MBOA_MHPA",FALSE
"178","Leaf151","DIMBOA_Glc_met",TRUE
"179","Leaf151","DMG_MBOA",TRUE
"180","Leaf151","AMPO_MBOA_Glc",TRUE
"181","Root166","MBOA_AMPO",FALSE
"182","Root166","MBOA_MHPA",FALSE
"183","Root166","DIMBOA_Glc_met",FALSE
"184","Root166","DMG_MBOA",FALSE
"185","Root166","AMPO_MBOA_Glc",FALSE
"186","LTA6","MBOA_AMPO",FALSE
"187","LTA6","MBOA_MHPA",FALSE
"188","LTA6","DIMBOA_Glc_met",TRUE
"189","LTA6","DMG_MBOA",FALSE
"190","LTA6","AMPO_MBOA_Glc",TRUE
"191","LWO12","MBOA_AMPO",TRUE
"192","LWO12","MBOA_MHPA",TRUE
"193","LWO12","DIMBOA_Glc_met",TRUE
"194","LWO12","DMG_MBOA",FALSE
"195","LWO12","AMPO_MBOA_Glc",FALSE
